committee_id,committee_name,report_year,report_type,transaction_id,file_number,entity_type,entity_type_desc,recipient_committee_id,recipient_name,recipient_state,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,election_type,fec_election_type_desc,amendment_indicator,filing_form,recipient_city,recipient_zip,disbursement_purpose_category,memo_text
C00574624,CRUZ FOR PRESIDENT,2016,M10,SB23.9131,1111852,ORG,ORGANIZATION,,RED DOT GRAPHICS,MA,,VOID CHECK- REISSUED,2016-09-29 00:00:00,-66648.16,,,A,F3P,WESTON,02493,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M10,SB23.9130,1111852,ORG,ORGANIZATION,,RED DOT GRAPHICS,MA,,VOID CHECK- REISSUED,2016-09-29 00:00:00,-59848.52,,,A,F3P,WESTON,02493,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M3,SB23.1668,1071498,ORG,ORGANIZATION,,SOUTHVIEW ASSET MANAGEMENT LLC,TX,,VOID CHECK- WRONG PAYEE,2016-02-12 00:00:00,-34935.0,,,N,F3P,CENTER,75935,OTHER,NEW INVOICE SPLIT BEWTWEEN SOUTHVIEW ASSET MANAGEMENT LLC AND DISTRICT DISPOSAL LLC
C00574624,CRUZ FOR PRESIDENT,2016,M3,SB23.1667,1071498,ORG,ORGANIZATION,,SOUTHVIEW ASSET MANAGEMENT LLC,TX,,VOID CHECK- WRONG PAYEE,2016-02-12 00:00:00,-26167.58,,,N,F3P,CENTER,75935,OTHER,NEW INVOICE SPLIT BEWTWEEN SOUTHVIEW ASSET MANAGEMENT LLC AND DISTRICT DISPOSAL LLC
C00574624,CRUZ FOR PRESIDENT,2016,M6,SB23.1693,1079356,IND,INDIVIDUAL,,"ANUZIS, SAUL",TX,,VOID CHECK- LOST CHECK,2016-05-02 00:00:00,-7936.55,,,A,F3P,HOUSTON,77026,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SB23.91044,1057556,ORG,ORGANIZATION,,HIGH COTTON CONSULTING,DC,,VOID CHECK- LOST CHECK,2015-10-05 00:00:00,-6934.5,,,C,F3P,WASHINGTON,20003,OTHER,REISSUED 10/5/15
C00574624,CRUZ FOR PRESIDENT,2016,M6,SB23.1692,1079356,ORG,ORGANIZATION,,TD CONVENTION CENTER,SC,,VOID CHECK- WRONG PAYEE,2016-05-20 00:00:00,-4823.55,,,A,F3P,GREENVILLE,29607,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9020,1057556,ORG,ORGANIZATION,,DOUBLETREE DES MOINES,IA,,CREDIT- FACILITY RENTAL/FOOD/BEVERAGES,2015-10-07 00:00:00,-4742.72,,,N,F3P,DES MOINES,50321,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2016,M4,SB23CCUV.9915,1077665,ORG,ORGANIZATION,,MARRIOTT WEST DES MOINES,IA,,CREDIT- FACILITY RENTAL/TRAVEL,2016-03-03 00:00:00,-4304.44,,,N,F3P,WEST DES MOINES,50266,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SB23.91043,1057556,IND,INDIVIDUAL,,"ENGLISH, BRYAN",IA,,VOID CHECK- DUPLICATE PAYMENT,2015-11-30 00:00:00,-3020.37,,,C,F3P,DES MOINES,50317,OTHER,DUPLICATE PAYMENT OF CHECK DATED 7/6/15
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9046,1053893,ORG,ORGANIZATION,,B&H PHOTO,NY,,CREDIT-EQUIPMENT PURCHASE,2015-07-03 00:00:00,-2898.0,,,N,F3P,NEW YORK,10001,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M12,SB28A.9030,1147737,IND,INDIVIDUAL,,"GAMORAN, DEVORAH",WA,,VOID CHECK- REISSUED,2016-11-02 00:00:00,-2700.0,G2016,GENERAL,N,F3P,MERCER ISLAND,98040,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M12,SB28A.9029,1147737,IND,INDIVIDUAL,,"GAMORAN, SAUL",WA,,VOID CHECK- REISSUED,2016-11-01 00:00:00,-2700.0,G2016,GENERAL,N,F3P,MERCER ISLAND,98040,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M9,SB23.80835,1100759,ORG,ORGANIZATION,,CONVICTION DIGITAL LLC,TX,,VOID CHECK- REISSUED,2016-08-01 00:00:00,-1500.0,,,A,F3P,AUSTIN,78701,OTHER,
C00574624,CRUZ FOR PRESIDENT,2016,M4,SB23CCUV.9914,1077665,ORG,ORGANIZATION,,AMAZON.COM,WA,,CREDIT- EQUIPMENT PURCHASE/OFFICE SUPPLIES,2016-03-03 00:00:00,-1438.3,,,N,F3P,SEATTLE,98109,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2016,M4,SB23CCUV.9916,1077665,ORG,ORGANIZATION,,AMAZON.COM,WA,,CREDIT- OFFICE SUPPLIES,2016-03-03 00:00:00,-1086.07,,,N,F3P,SEATTLE,98109,ADMINISTRATIVE,
C00574624,CRUZ FOR PRESIDENT,2016,M4,SB23.1090,1077665,ORG,ORGANIZATION,,PAYBACK SYSTEMS LLC- TOM DUFFY,NH,,VOID CHECK- REISSUE,2016-03-14 00:00:00,-1000.0,,,N,F3P,RAYMOND,03077,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,Q3,SBCCUV1.9037,1053893,ORG,ORGANIZATION,,UNITED AIRLINES,TX,,CREDIT- TRAVEL,2015-08-03 00:00:00,-978.1,,,N,F3P,HOUSTON,77210,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9027,1057556,ORG,ORGANIZATION,,US AIRWAYS,AZ,,CREDIT- TRAVEL,2015-10-07 00:00:00,-945.1,,,N,F3P,PHOENIX,85034,OTHER,
C00574624,CRUZ FOR PRESIDENT,2015,YE,SBCCUV45.9019,1057556,ORG,ORGANIZATION,,STOCKYARDS STATION,TX,,CREDIT- FACILITY RENTAL,2015-10-07 00:00:00,-845.41,,,N,F3P,FT. WORTH,76164,ADMINISTRATIVE,
